tim_id,type,manufacturer,mpn,description,thermal_conductivity_wmk,thickness_mm,width_mm,length_mm,price_thb,weight_g
,Grease,"Shiu Li Technology Co., Ltd.",PK700DM-140-KIT,"Thermal Liquid Gap Filler, 2 Part 50 ml, 400 ml Cartridges",7.0,,,,8694.4,125.0
,Grease,European Thermodynamics Ltd,GCS-040-GNS-1KG,Thermal Non-Silicone Grease 1 kg Container,4.0,,,,8798.08,1000.0
,Grease,Bergquist,GF3500S35-00-60-400CC,"Thermal Liquid Gap Filler, 2 Part 400cc Cartridge",3.6,,,,8861.13,1000.0
,Grease,t-Global Technology,TG4040-D-1000,Thermal Silicone Putty 1 kg Container,3.0,,,,9373.33,1000.0
,Grease,"Shiu Li Technology Co., Ltd.",S-PUTTY-950,Thermal Silicone Putty 950 gram Container,3.5,,,,9737.65,950.0
,Grease,"Shiu Li Technology Co., Ltd.",H-PUTTY-950,Thermal Silicone Putty 950 gram Container,3.5,,,,10272.6,950.0
,Grease,Bergquist Company,TGF3000SF-00-1500-400CC,"Thermal Interface Products Gap Filler, 2-Part, Sil-Free, Room Temp Cure, 3W/mK, 400ml Cartridge, TGF3000SF",3.0,,,,10324.6,1000.0
,Grease,Bergquist,2761872,"Thermal Liquid Gap Filler, 2 Part 400cc Cartridge",3.0,,,,10337.6,1000.0
,Grease,Laird Technologies,A14259-01,Thermal Interface Products Tgrease 2500 1kg 3.8W/mK Sil Free,3.8,,,,10396.75,1000.0
,Grease,Parker Chomerics,65-00-GEL20-0300,Thermal Gel Gap Filler 300cc Cartridge,2.4,,,,10526.1,750.0
,Grease,Bergquist Company,TLF10000L150CC,"Thermal Interface Products Thermally Conductive Gel Interface Material, 10 W/m-K, 150ml Cartridge",10.0,,,,11175.13,375.0
,Grease,Parker Chomerics,65-00-GEL50VT-0300,Thermal Silicone Gel 300cc Syringe,5.2,,,,11792.3,750.0
,Grease,t-Global Technology,TG-N4000-330CC,Thermal Non-Silicone Putty 330cc Syringe,4.0,,,,12160.85,825.0
,Grease,t-Global Technology,TG-N4000-1000,Thermal Non-Silicone Putty 1 kg Jar,4.0,,,,12160.85,1000.0
,Grease,t-Global Technology,TG6060-D-1000,Thermal Silicone Putty 1 kg Container,6.3,,,,13010.08,1000.0
,Grease,t-Global Technology,TG-N909-1000,Thermal Non-Silicone Grease 1 kg Container,9.0,,,,13106.28,1000.0
,Grease,t-Global Technology,TG-A7000-1000,Thermal Silicone Putty 1 kg Container,7.0,,,,13479.7,1000.0
,Grease,t-Global Technology,TG-A7000-330CC,Thermal Silicone Putty 330cc Syringe,7.0,,,,13480.03,825.0
,Grease,"Shiu Li Technology Co., Ltd.",S-PUTTY2-985,Thermal Silicone Putty 985 gram Container,6.0,,,,13938.6,985.0
,Grease,Bergquist Company,TGF 2900LVO-00-400CC,"Thermal Interface Products Gap Filler, 2-Part, 2.9 W/m-K, Silicone, 400CC Cartridge, IDH 2859942",2.9,,,,14193.4,1000.0
,Grease,"Shiu Li Technology Co., Ltd.",H-PUTTY2-1000,Thermal Silicone Putty 1 kg Container,6.0,,,,14664.0,1000.0
,Grease,t-Global Technology,TG-N8000-330CC,Thermal Non-Silicone Putty 330cc Syringe,8.0,,,,15291.9,825.0
,Grease,t-Global Technology,TG-N8000-1000,Thermal Non-Silicone Putty 1 kg Jar,8.0,,,,15291.9,1000.0
,Grease,Laird Technologies - Thermal Materials,A18578-02,Thermal Liquid Gap Filler 180cc Cartridge,9.1,,,,16599.05,450.0
,Grease,Bergquist Company,TGF3000SF-00-1500-1200CC,"Thermal Interface Products Gap Filler, 2-Part, Sil-Free, Room Temp Cure, 3W/mK, 1200ml Cartridge, TGF3000SF",3.0,,,,21012.88,3000.0
,Grease,Laird Technologies,A14855-01,Thermal Interface Products Tgrease 1500 7kg can 1.2 W/mK,1.2,,,,21990.48,7000.0
,Grease,Bergquist Company,GF4500CVO-00-240-1200CC,"Thermal Interface Products Liquid Gap-Filling Material, 2-Part, 4.5W/m-K, 1200ml Cartridge, TGF4500CVO",4.5,,,,28076.43,3000.0
,Grease,Bergquist Company,TLF6000HG-00-00-0.7G,"Thermal Interface Products Conductive, 1-Part, Liquid Formable, 1 Gallon Pail, 6 W/m-K, Liqui-Form",6.0,,,,54209.03,1.0
,Grease,Bergquist Company,2580287,"Thermal Interface Products Conductive, 1-Part, Liquid Formable, 1 Gallon, 6.0 W/m-K, Liqui-Form TLF 6000HG",6.0,,,,91340.28,1.0
,Grease,Bergquist Company,2956733,"Thermal Interface Products Liquid Gap-Filling Material, 2-Part, 4.5W/m-K, 5 Gallon Hobbock/Pail, TGF4500CVO",4.5,,,,215478.25,5.0
,Grease,Bergquist Company,GF4500CVO-00-240-6G,"Thermal Interface Products Liquid Gap-Filling Material, 2-Part, 4.5W/m-K, 6 Gallon Pail Kit, TGF4500CVO",4.5,,,,215478.25,6.0
,Grease,Bergquist Company,LF3500-00-00-4.33G,"Thermal Interface Products 1-Part, Liquid Formable Material, 4.33 Gallon Pail, 3.5 W/m-K, Liqui-Form",3.5,,,,249788.18,4.3
,Other,MG Chemicals,9460TC-3ML,Thermal Epoxy Adhesive 3 ml Syringe,0.8,,,,832.98,7.5
