MPN,Manufacturer,Category,Description,Thermal_Conductivity,Thickness,Width,Length,Price_THB
SP400-0.009-00-90,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 21.84mm x 18.80mm Rectangular,0.9W/m-K,"0.0090"" (0.229mm)",,,8.51
SP900S-0.009-AC-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 19.05mm x 12.70mm Rectangular Adhesive - One Side,1.6W/m-K,"0.0090"" (0.229mm)",,,9.14
SP900S-0.009-AC-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 19.05mm x 12.70mm Rectangular Adhesive - One Side,1.6W/m-K,"0.0090"" (0.229mm)",,,9.14
SP900S-0.009-00-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 19.05mm x 12.70mm Rectangular,1.6W/m-K,"0.0090"" (0.229mm)",,,9.45
TG-A1250-10-10-1.0,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 10.00mm x 10.00mm Square,12.5W/m-K,"0.0394"" (1.000mm)",,,10.08
HF115AC-0.0055-AC-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular Adhesive - One Side,0.8W/m-K,"0.0055"" (0.140mm)",,,10.4
1009-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 19.05mm x 12.70mm Rectangular,1.2W/m-K,"0.0090"" (0.229mm)",,,10.4
4671,Keystone Electronics,"Fans, Blowers, Thermal Management",Thermal Pad 20.32mm x 12.83mm Rectangular,-,"0.0030"" (0.076mm)",,,10.71
SPK10-0.006-00-54,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Beige 19.05mm x 12.70mm Rectangular,1.3W/m-K,"0.0060"" (0.152mm)",,,11.03
SP900S-0.009-00-104,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 25.40mm x 19.05mm Rectangular,1.6W/m-K,"0.0090"" (0.229mm)",,,11.03
SP900S-0.009-00-90,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Pink 21.84mm x 18.80mm Rectangular,1.6W/m-K,"0.0090"" (0.229mm)",,,11.03
2188938,Bergquist,"Fans, Blowers, Thermal Management","Thermal Pad Gray, Green 25.02mm x 11.00mm Round",0.9W/m-K,"0.0120"" (0.305mm)",,,12.92
HF115AC-0.0055-AC-58,Bergquist,"Fans, Blowers, Thermal Management",Thermal Pad Gray 19.05mm x 12.70mm Rectangular Adhesive - One Side,0.8W/m-K,"0.0055"" (0.140mm)",,,13.55
TG-A1250-15-15-0.5,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Green 15.00mm x 15.00mm Square,12.5W/m-K,"0.0197"" (0.500mm)",,,13.86
CP23-TO220-21.5-11.4-5.8-0.45,t-Global Technology,"Fans, Blowers, Thermal Management",Thermal Pad Gray 21.50mm x 11.40mm x 5.80mm Rectangular,1.9W/m-K,"0.0177"" (0.450mm)",,,15.12
53-77-9G,"Boyd Laconia, LLC","Fans, Blowers, Thermal Management","Thermal Pad Gray, Green 18.42mm x 13.21mm Rectangular",0.9W/m-K,"0.0060"" (0.152mm)",,,17.33
60-12-8302-1674,Parker Chomerics,"Fans, Blowers, Thermal Management",Thermal Pad Blue 18.03mm x 12.70mm Rectangular Adhesive - One Side,1.0W/m-K,"0.0100"" (0.254mm)",,,17.64
V-1100-SMD/B-L,Assmann WSW Components,"Fans, Blowers, Thermal Management",Heat Sink TO-252 (DPak) Copper Top Mount,,"0.390"" (9.91mm)","0.790"" (20.07mm)","0.320"" (8.13mm)",17.96
V-1100-SMD/A-L,Assmann WSW Components,"Fans, Blowers, Thermal Management",Heat Sink TO-263 (D²Pak) Copper Top Mount,,"0.390"" (9.91mm)","1.031"" (26.20mm)","0.500"" (12.70mm)",18.27
